"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","3191514","Zeenat  Rehena and Marijn  Janssen","","","","Towards a Framework for Context-Aware Intelligent Traffic Management System in Smart Cities","893--898","","6","big data, congestion, context-aware computing, intelligent traffic management system, smart city, smart mobility, smart transportation","10.1145/3184558.3191514","","","","","","","2018","","Companion Proceedings of the The Web Conference 2018","WWW '18","","978-1-4503-5640-4","Lyon, France","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, Switzerland"
"article","3186231","Ulle  Endriss and Umberto  Grandi","","","","Graph Aggregation","447--450","","4","argumentation theory, belief merging, consensus clustering, graph theory, impossibility theorems, preference aggregation, social choice theory, collective rationality, social networks","10.1145/3184558.3186231","","","","","","","2018","","Companion Proceedings of the The Web Conference 2018","WWW '18","","978-1-4503-5640-4","Lyon, France","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, Switzerland"
"article","3191543","Amrapali  Zaveri and Pedro Hernandez Serrano and Manisha  Desai and Michel  Dumontier","","","","CrowdED: Guideline for Optimal Crowdsourcing Experimental Design","1109--1116","","8","biomedical, crowdsourcing, data quality, data science, fair, metadata, reproducibility","10.1145/3184558.3191543","","","","","","","2018","","Companion Proceedings of the The Web Conference 2018","WWW '18","","978-1-4503-5640-4","Lyon, France","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, Switzerland"
"article","3190666","Steffen  Staab and Jens  Lehmann and Ruben  Verborgh","","","","Structured Knowledge on the Web 7.0","885--886","","2","RDF, knowledge graph, linked data, schema.org, semantic web","10.1145/3184558.3190666","","","","","","","2018","","Companion Proceedings of the The Web Conference 2018","WWW '18","","978-1-4503-5640-4","Lyon, France","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, Switzerland"
"article","3191823","Jaehun  Kim and Minz  Won and Xavier  Serra and Cynthia C. S. Liem","","","","Transfer Learning of Artist Group Factors to Musical Genre Classification","1929--1934","","6","multi-task learning, music information retrieval, neural network, transfer learning","10.1145/3184558.3191823","","","","","","","2018","","Companion Proceedings of the The Web Conference 2018","WWW '18","","978-1-4503-5640-4","Lyon, France","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, Switzerland"
"article","3186085","Shangsong  Liang and Ilya  Markov and Zhaochun  Ren and Maarten  de Rijke","","","","Manifold Learning for Rank Aggregation","1735--1744","","10","ad hoc retrieval, manifold learning, rank aggregation","10.1145/3178876.3186085","","","","","","","2018","","Proceedings of the 2018 World Wide Web Conference","WWW '18","","978-1-4503-5639-8","Lyon, France","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, Switzerland"
"article","3186953","Martin  Atzmueller and Florian  Lemmerich","","","","Homophily at Academic Conferences","109--110","","2","bayesian statistics, homophily, hypotheses, network analysis","10.1145/3184558.3186953","","","","","","","2018","","Companion Proceedings of the The Web Conference 2018","WWW '18","","978-1-4503-5640-4","Lyon, France","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, Switzerland"
"article","3192297","Paul  Groth and Am&#233;lie  Gyrard","","","","Demo Track Chairs' Welcome &#38; Organization","123--125","","3","demo, demonstations, web","10.1145/3184558.3192297","","","","","","","2018","","Companion Proceedings of the The Web Conference 2018","WWW '18","","978-1-4503-5640-4","Lyon, France","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, Switzerland"
"article","3191550","Lora  Aroyo and Chris  Welty","","","","The Quantum Collective","1101--1103","","3","ambiguity, cognitive behavior, collective intelligence, context modelling, crowdsourcing, disagreement, human computation, quality metrics, quantum mathematics","10.1145/3184558.3191550","","","","","","","2018","","Companion Proceedings of the The Web Conference 2018","WWW '18","","978-1-4503-5640-4","Lyon, France","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, Switzerland"
"article","3192321","Marie-Francine  Moens and Gareth J. F. Jones and Saptarshi  Ghosh and Debasis  Ganguly and Tanmoy  Chakraborty and Kripabandhu  Ghosh","","","","WWW'18 Workshop on Exploitation of Social Media for Emergency Relief and Preparedness: Chairs' Welcome &#38; Organization","1609--1611","","3","emergency relief and preparedness, exploitation, social media","10.1145/3184558.3192321","","","","","","","2018","","Companion Proceedings of the The Web Conference 2018","WWW '18","","978-1-4503-5640-4","Lyon, France","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, Switzerland"
"article","3192309","Martin  Atzmueller and Alvin  Chin and Christoph  Trattner","","","","International Workshop on Modeling Social Media (MSM 2018) Chairs' Welcome &#38; Organization","1307--1308","","2","","10.1145/3184558.3192309","","","","","","","2018","","Companion Proceedings of the The Web Conference 2018","WWW '18","","978-1-4503-5640-4","Lyon, France","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, Switzerland"
"article","3186963","Johannes  Doleschal and Nico  H&#246;llerich and Wim  Martens and Frank  Neven","","","","Chisel: Sculpting Tabular and Non-Tabular Data on the Web","139--142","","4","CSV, schema languages, semi-structured data, tabular data","10.1145/3184558.3186963","","","","","","","2018","","Companion Proceedings of the The Web Conference 2018","WWW '18","","978-1-4503-5640-4","Lyon, France","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, Switzerland"
"article","3186033","Jie  Yang and Thomas  Drake and Andreas  Damianou and Yoelle  Maarek","","","","Leveraging Crowdsourcing Data for Deep Active Learning An Application: Learning Intents in Alexa","23--32","","10","conversational agents, crowdsourcing, deep active learning","10.1145/3178876.3186033","","","","","","","2018","","Proceedings of the 2018 World Wide Web Conference","WWW '18","","978-1-4503-5639-8","Lyon, France","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, Switzerland"
"article","3191599","Semih  Yumusak and Andreas  Kamilaris and Erdogan  Dogdu and Halife  Kodaz and Elif  Uysal and Riza Emre  Aras","","","","A Discovery and Analysis Engine for Semantic Web","1497--1505","","9","discovery, linked data, search engine, semantic web, sparql endpoints","10.1145/3184558.3191599","","","","","","","2018","","Companion Proceedings of the The Web Conference 2018","WWW '18","","978-1-4503-5640-4","Lyon, France","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, Switzerland"
"article","3192291","Leonidas  Anthopoulos and Marijn  Janssen and Vishanth  Weerakkody","","","","AW4City 2018 Chairs' Welcome &#38; Organization","891--892","","2","IoE, IoT, WWW, apps, digital city, intelligent city, smart city, web applications","10.1145/3184558.3192291","","","","","","","2018","","Companion Proceedings of the The Web Conference 2018","WWW '18","","978-1-4503-5640-4","Lyon, France","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, Switzerland"
"article","3186035","Mario  Almeida and Muhammad  Bilal and Alessandro  Finamore and Ilias  Leontiadis and Yan  Grunenberger and Matteo  Varvello and Jeremy  Blackburn","","","","CHIMP: Crowdsourcing Human Inputs for Mobile Phones","45--54","","10","crowdsourcing, mobile, testing, virtualization","10.1145/3178876.3186035","","","","","","","2018","","Proceedings of the 2018 World Wide Web Conference","WWW '18","","978-1-4503-5639-8","Lyon, France","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, Switzerland"
"article","3192303","Lora  Aroyo and Gianluca  Demartini and Anna Lisa  Gentile and Chris  Welty","","","","Augmenting Intelligence with Humans-in-the-Loop (HumL@WWW2018) Chairs' Welcome &#38; Organization","1099--1100","","2","artificial intelligence, human computation, human-in-the-loop","10.1145/3184558.3192303","","","","","","","2018","","Companion Proceedings of the The Web Conference 2018","WWW '18","","978-1-4503-5640-4","Lyon, France","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, Switzerland"
"article","3192308","Martin  Atzmueller and Sabrina  Gaito and Roberto  Interdonato and Rushed  Kanawati and Christine  Largeron and Matteo  Magnani and Alessandra  Sala","","","","International Workshop on Mining Attributed Networks (MATNET 2018) Chairs' Welcome","1231--1233","","3","","10.1145/3184558.3192308","","","","","","","2018","","Companion Proceedings of the The Web Conference 2018","WWW '18","","978-1-4503-5640-4","Lyon, France","International World Wide Web Conferences Steering Committee","Republic and Canton of Geneva, Switzerland"
