"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","3186606","Caroline  Overgoor and Mathias  Funk","","","","IdleBot: Exploring Non-Engaging Interaction Design in Personal Spaces","VS14:1--VS14:1","VS14","1","designing things, interaction design, social robots, user experience","10.1145/3170427.3186606","","","","","","","2018","","Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems","CHI EA '18","","978-1-4503-5621-3","Montreal QC, Canada","ACM","New York, NY, USA"
"article","3186527","Iohanna  Nicenboim and Masako  Kitazaki and Tomo  Kihara and Ana  Torralba Marin and Martin  Havranek","","","","Connected Resources: A Novel Approach in Designing Technologies for Older People","D202:1--D202:4","D202","4","gerontechnology, internet of things, research through design, resourcefulness","10.1145/3170427.3186527","","","","","","","2018","","Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems","CHI EA '18","","978-1-4503-5621-3","Montreal QC, Canada","ACM","New York, NY, USA"
"article","3174187","Rong-Hao  Liang and Bin  Yu and Mengru  Xue and Jun  Hu and Loe M. G. Feijs","","","","BioFidget: Biofeedback for Respiration Training Using an Augmented Fidget Spinner","613:1--613:12","613","12","biofeedback, fidget spinner, physiological sensing, respiration training, stress, tangible interaction","10.1145/3173574.3174187","","","","","","","2018","","Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems","CHI '18","","978-1-4503-5620-6","Montreal QC, Canada","ACM","New York, NY, USA"
"article","3186594","Rong-Hao  Liang and Bin  Yu and Mengru  Xue and Jun  Hu and Loe M.G. Feijs","","","","BioFidget Video: Biofeedback for Respiration Training Using an Augmented Fidget Spinner","VS02:1--VS02:1","VS02","1","biofeedback, fidget spinner, physiological sensing, respiration training, stress, tangible interaction","10.1145/3170427.3186594","","","","","","","2018","","Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems","CHI EA '18","","978-1-4503-5621-3","Montreal QC, Canada","ACM","New York, NY, USA"
"article","3186523","Rong-Hao  Liang and Bin  Yu and Mengru  Xue and Jun  Hu and Loe M. G. Feijs","","","","BioFidget Demo: Biofeedback for Respiration Training Using an Augmented Fidget Spinner","D313:1--D313:4","D313","4","biofeedback, fidget spinner, physiological sensing, respiration training, stress, tangible interaction","10.1145/3170427.3186523","","","","","","","2018","","Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems","CHI EA '18","","978-1-4503-5621-3","Montreal QC, Canada","ACM","New York, NY, USA"
"article","3174358","Sergio  Barros and Jack  Jansen and Pablo  Cesar and Thomas  R&#246;ggla and David A. Shamma","","","","Designing the Club of the Future with Data: A Case Study on Collaboration of Creative Industries","CS06:1--CS06:9","CS06","9","activity recognition, artifacts, datasets, sensors, smart textiles, system design, wear- ables","10.1145/3170427.3174358","","","","","","","2018","","Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems","CHI EA '18","","978-1-4503-5621-3","Montreal QC, Canada","ACM","New York, NY, USA"
"article","3185375","Regina  Bernhaupt and Stefan  Manojlovic and Victoria  Sosik","","","","SIG: Enhancing SIGCHI Membership Benefits","SIG10:1--SIG10:4","SIG10","4","membership, mentorship, sigchi","10.1145/3170427.3185375","","","","","","","2018","","Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems","CHI EA '18","","978-1-4503-5621-3","Montreal QC, Canada","ACM","New York, NY, USA"
"article","3170648","Jean  Vanderdonckt and Radu-Daniel  Vatavu","","","","Designing, Engineering, and Evaluating Gesture User Interfaces","C22:1--C22:4","C22","4","engineering interactive systems, gesture analysis, gesture production, gesture recognition, gesture user interfaces, methodology, user interface design","10.1145/3170427.3170648","","","","","","","2018","","Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems","CHI EA '18","","978-1-4503-5621-3","Montreal QC, Canada","ACM","New York, NY, USA"
"article","3174211","Florian  Heller and Johannes  Sch&#246;ning","","","","NavigaTone: Seamlessly Embedding Navigation Cues in Mobile Music Listening","637:1--637:7","637","7","audio augmented reality, mobile devices, navigation, spatial audio, virtual audio spaces","10.1145/3173574.3174211","","","","","","","2018","","Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems","CHI '18","","978-1-4503-5620-6","Montreal QC, Canada","ACM","New York, NY, USA"
"article","3186543","Sander  Bogers and Janne van Kollenburg and Heleen  Rutjes and Eva  Deckers and Joep  Frens and Caroline  Hummels","","","","A Showcase of Data-enabled Design Explorations","D302:1--D302:4","D302","4","canvas, data, data-enabled design, demonstrations, explorations, situated","10.1145/3170427.3186543","","","","","","","2018","","Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems","CHI EA '18","","978-1-4503-5621-3","Montreal QC, Canada","ACM","New York, NY, USA"
